Comment,Designator,Footprint,JLCPCB Part #
10u,"C1,C3,C4,C10,C14,C15,C19,C20,C21,C22,C24,C25,C26,C27,C29,C38,C40",Capacitor_SMD:C_0805_2012Metric,
0.1u,"C2,C8,C16,C17,C18,C28,C30,C31,C32,C33,C34,C37,C39",Capacitor_SMD:C_0402_1005Metric,
22n,"C5,C7",Capacitor_SMD:C_0402_1005Metric,
1n,C6,Capacitor_SMD:C_0402_1005Metric,
47p,"C9,C11,C12,C13",Capacitor_SMD:C_0402_1005Metric,
0.01u,C23,Capacitor_SMD:C_0402_1005Metric,
5600p,"C35,C36",Capacitor_SMD:C_0402_1005Metric,
100u,"C41,C45",Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H,
47u,"C42,C43,C44",Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H,
220u,"C46,C47,C48",Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H,
9p,C49,Capacitor_SMD:C_0402_1005Metric,
18p,C50,Capacitor_SMD:C_0402_1005Metric,
1N4148W,"D1,D2",Diode_SMD:D_SOD-123,
68uH,L1,Inductor_SMD:L_0805_2012Metric,
4.7k,R1,Resistor_SMD:R_0402_1005Metric,
10k,"R2,R3,R40,R41,R46,R47,R50,R51,R62,R64",Resistor_SMD:R_0402_1005Metric,
47k,"R4,R5,R7,R8,R31,R32,R52,R59",Resistor_SMD:R_0402_1005Metric,
2.2k,"R6,R21,R23",Resistor_SMD:R_0402_1005Metric,
5.62k,"R9,R10,R11,R12,R13,R14,R35",Resistor_SMD:R_0402_1005Metric,
75R,"R15,R17,R36,R37,R38,R43,R44,R45,R56,R57,R58",Resistor_SMD:R_0402_1005Metric,
1k,"R16,R18,R19,R34",Resistor_SMD:R_0402_1005Metric,
22k,"R22,R24",Resistor_SMD:R_0402_1005Metric,
33k,"R26,R29",Resistor_SMD:R_0402_1005Metric,
51k,"R27,R28",Resistor_SMD:R_0402_1005Metric,
2.7k,R30,Resistor_SMD:R_0402_1005Metric,
3.2k,R33,Resistor_SMD:R_0402_1005Metric,
7.5k,"R39,R42",Resistor_SMD:R_0402_1005Metric,
100k,"R48,R49",Resistor_SMD:R_0402_1005Metric,
330R,"R53,R54,R55",Resistor_SMD:R_0402_1005Metric,
100R,"R60,R61",Resistor_SMD:R_0402_1005Metric,
50k,"R63,R65",Resistor_SMD:R_0402_1005Metric,
CD4070,U1,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,
74HC123,U2,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,
TS924,"U3,U7",Package_SO:TSSOP-14_4.4x5mm_P0.65mm,
THS7374,U4,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,
ICS501,U5,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
TS922,U6,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,
AD725,U8,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,
